,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
47,4.8975,2.4540345668792725,5.640978788171467e-05,2.3514687100894,2300,,,,,,,,,
48,4.9165,2.4277355670928955,5.478050000563341e-05,2.402554278416347,2350,,,,,,,,,
49,4.875,2.485288381576538,5.3146071655988417e-05,2.453639846743295,2400,,,,,,,,,
50,4.8683,2.477464437484741,5.1508260334236247e-05,2.5047254150702427,2450,,,,,,,,,
51,4.8524,2.878523349761963,4.986882717954481e-05,2.5558109833971905,2500,,,,,,,,,
52,4.8676,2.562422752380371,4.822953507503955e-05,2.606896551724138,2550,,,,,,,,,
53,4.8501,2.5370070934295654,4.659214675217461e-05,2.6579821200510856,2600,,,,,,,,,
54,4.8872,2.752847194671631,4.4958422895267015e-05,2.7090676883780334,2650,,,,,,,,,
55,4.8541,2.8296620845794678,4.3330120248231986e-05,2.7601532567049807,2700,,,,,,,,,
56,4.8328,2.6731832027435303,4.170898972555571e-05,2.8112388250319285,2750,,,,,,,,,
57,4.8525,2.7534029483795166,4.009677452953612e-05,2.8623243933588762,2800,,,,,,,,,
58,4.8631,2.5203607082366943,3.849520827581689e-05,2.913409961685824,2850,,,,,,,,,
59,4.8297,2.690312385559082,3.690601312922974e-05,2.9644955300127713,2900,,,,,,,,,
60,,,,2.9992337164750955,2934,5.700453758239746,3.7837,805.292,100.695,,,,,
61,4.9453,2.5958733558654785,3.533089795194997e-05,3.016347381864623,2950,,,,,,,,,
62,4.768,2.955784320831299,3.377155646595629e-05,3.067432950191571,3000,,,,,,,,,
63,4.7546,3.082078218460083,3.222966543177085e-05,3.1185185185185187,3050,,,,,,,,,
64,4.7102,3.0007333755493164,3.0706882845438e-05,3.169604086845466,3100,,,,,,,,,
65,4.7478,2.704265832901001,2.920484615568051e-05,3.220689655172414,3150,,,,,,,,,
